Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images
Tegallingah Cliff Temple,Heritage and Culture,Gianyar,0,4.6,14,https://goo.gl/maps/sLC6e3hTNQJGXYkz6,https://balitripholidays.files.wordpress.com/2016/02/6.jpg
Bajra Sandhi Monument,Heritage and Culture,Denpasar,0,4.6,12047,https://goo.gl/maps/RK5iLNcBxvkMcVeZ9,https://asset.kompas.com/crops/0kZ_Ah3oLQiKbkJ5qKbxLQfgIXA=/0x51:1000x717/750x500/data/photo/2020/02/26/5e563a3db63aa.jpg
Kereban Langit,Heritage and Culture,Badung,0,4.7,200,https://goo.gl/maps/BsyR4Arbc8RxUyDy6,http://www.balitoursclub.net/wp-content/uploads/2017/09/Pura-Kereban-Langit-di-dalam-goa.jpg
Pantai Segara Ayu,Beach,Denpasar,3000,4.5,1714,https://goo.gl/maps/EKrMZwZaKdrQpygy8,https://lh5.googleusercontent.com/p/AF1QipPP-MV7qIEUvPqOoUqOgc2j8gI_MvxuHKSVUAAA=w408-h306-k-no
Pantai Mertasari,Beach,Denpasar,2000,4.4,543,https://goo.gl/maps/6weUNTz264wL1vwHA,https://lh5.googleusercontent.com/p/AF1QipOWodl_I1o3c2S8BrtYBjScS6IBYOkcbfOufj9T=w408-h306-k-no
Pantai Matahari Terbit,Beach,Denpasar,2000,4,11,https://goo.gl/maps/ZJLCmByKjAQ5uhb29,https://lh5.googleusercontent.com/p/AF1QipNbzKbujmzki2P7kA6KcKIhgYCHul3tWC8Ii3fy=w426-h240-k-no
Pantai Biaung,Beach,Denpasar,2000,4.2,507,https://goo.gl/maps/JDyeY2Mcufs6veRR9,https://lh5.googleusercontent.com/p/AF1QipOywG2rRR9oyg6JsqafmKpcCZxtr5eAs-xu5faX=w408-h306-k-no
Pantai Padang Galak,Beach,Denpasar,5000,4.6,117,https://goo.gl/maps/gQQoN7ugUF7RG2dh9,https://lh5.googleusercontent.com/p/AF1QipMkb6oHRe1u3Xknj4XGHZt96XHkY__PXFJCqnDw=w425-h240-k-no
Pantai Sanur,Beach,Denpasar,10000,4.5,1924,https://goo.gl/maps/LskttfqcvLgsK9TG7,https://www.bing.com/th?id=OIP.igVLTVJ4UDN7K_OQpir4sQHaFV&w=194&h=140&c=8&rs=1&qlt=90&o=6&pid=3.1&rm=2
Pantai Indah,Beach,Denpasar,2000,0,0,https://goo.gl/maps/4B86VhDa6sfedgLG8,https://indonesia.tripcanvas.co/id/bali/pantai-tersembunyi/
Pantai Sindhu,Beach,Denpasar,2000,4.6,716,https://goo.gl/maps/Abdxyxex9Q85RKoE7,https://lh5.googleusercontent.com/p/AF1QipNAmePP4rI9XTH86tC77wQe9i_Sz-OYZ3bHS1wg=w408-h306-k-no
Pantai Karang,Beach,Denpasar,2000,4.6,4419,https://goo.gl/maps/doVoQJacfHu2oAvk8,https://lh5.googleusercontent.com/p/AF1QipM2zB4hClaQDdTfSehphOGKt50RBHyRFxNWfTLf=w408-h306-k-no
Pantai Yeh Gangga,Beach,Tabanan,2000,4.4,1107,https://goo.gl/maps/rSnqiW4RYoWfQUQXA,https://lh5.googleusercontent.com/p/AF1QipNEDbMs2uJtztzJCqk1BoIVurgpcojeS5hiJxm5=w426-h240-k-no
Pantai Batu Tampih,Beach,Tabanan,2000,4.5,105,https://goo.gl/maps/FutA5TXnG4LTF2pz5,https://lh5.googleusercontent.com/p/AF1QipMAN8w72eIFOQwuL3x6JmrOSL9XkyGmRTf6DBz9=w427-h240-k-no
Pantai Soka,Beach,Tabanan,2000,4.2,1229,https://goo.gl/maps/Hims7WConruogm2BA,https://lh5.googleusercontent.com/p/AF1QipODZjIs11ZBN6BXxQ2-s2ZyNBONsdDN2z-Em0q5=w408-h244-k-no
Pantai Pasut,Beach,Tabanan,2000,4.4,863,https://goo.gl/maps/peqDuKEnQCoqiqNU9,https://lh5.googleusercontent.com/p/AF1QipMP9yzgvvi63LLQgCKJ9jGVjLiPQ4Mc6DL1X6gM=w408-h306-k-no
Pantai Kelating,Beach,Tabanan,2000,4.4,505,https://goo.gl/maps/TFFp5VDAwWZzgbN39,https://lh5.googleusercontent.com/p/AF1QipOQFDp0YJuUKhLCDvYluYOUwlvsHCfCa8eEUZdv=w408-h305-k-no
Pantai Melasti,Beach,Badung,15000,4.8,7375,https://goo.gl/maps/3SDYZwma2fUUmmWXA,https://lh5.googleusercontent.com/p/AF1QipOoTSCx5oVKsP_R8YT3jYMNwiGGMhXTzfcV9L6q=w408-h306-k-no
Pantai Balian,Beach,Tabanan,5000,4.5,651,https://goo.gl/maps/NvuC1gfDuzH8qqy7A,https://lh5.googleusercontent.com/p/AF1QipPI7soQv81Ffj5tL5jE5uTFdn-brV7SWKGvy60C=w514-h240-k-no
Pantai Kedungu,Beach,Tabanan,2000,4.5,1637,https://goo.gl/maps/UHJgrQaqqVHY4dm26,https://lh5.googleusercontent.com/p/AF1QipN-ibDbRj48j0gG42Bak9iIe1Msbz_4BLM3JCwb=w408-h306-k-no
Pantai Goa Lawah,Beach,Klungkung,2000,4.4,200,https://goo.gl/maps/UipkCdXR7PQg7FGS9,https://lh5.googleusercontent.com/p/AF1QipPXRF5sLyePoQCswX79cBeftsdZk1ENpegpbp1F=w408-h306-k-no
Pantai Sidayu,Beach,Klungkung,5000,4.3,67,https://goo.gl/maps/Pd7pFMH2agTxDAzF9,https://lh5.googleusercontent.com/p/AF1QipPa9M9VUp6D9ITpZkfXpJxbUosmodk1-IiF999y=w408-h306-k-no
Pantai Lepang,Beach,Klungkung,2000,4.4,159,https://goo.gl/maps/djgCqZJVd3CBzKUF6,https://lh5.googleusercontent.com/p/AF1QipNE-MUU2m2PV904LHpyXlq9J5rtO6nksl-XOIAa=w408-h306-k-no
Pantai Tegal Besar,Beach,Klungkung,2000,4.5,66,https://goo.gl/maps/5YWY4pHbGwvs8i1t9,https://lh5.googleusercontent.com/p/AF1QipPM9urVrZXIkzpsrW5ZC6uxOJCLebU0p1KSlFg8=w408-h306-k-no
