Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Campuhan Ridge Walk,Country sides area & Hiking area,Gianyar,Rp.0,4.5,8000,https://goo.gl/maps/bNXVXyFw7hdW4vt19,https://lh5.googleusercontent.com/p/AF1QipNLNy_bQPFuEqd3C7Nde1TGPs6XYD5aGUFgjCK6=w408-h408-k-no,
Waterblow,Country sides area & Tourist attraction,Badung,Rp.0,4.4,8500,https://goo.gl/maps/3o7c6ZKZku1uC5Tz5,https://lh5.googleusercontent.com/p/AF1QipPWS2sGMF-HtWaFO6xjrFprRh_qKOd9x5hpIo31=w408-h302-k-no,
Desa Visesa Ubud,Country sides area & Resort hotel,Gianyar,Rp.0,4.6,1500,https://g.page/desavisesa?share,https://lh5.googleusercontent.com/p/AF1QipMgNE80MnM2LsJaAOakOIk9v060u4ojE2qCsE_z=w408-h272-k-no,3612091788
Pura Tirta Empul,Country sides area & Hindu temple,Gianyar,Rp.0,4.6,15000,https://goo.gl/maps/mJtqFuYtK4G98LZT6,https://lh5.googleusercontent.com/p/AF1QipNfbLUspfUz29-Xe37T8sb2sEurfedPYIKirGe-=w408-h306-k-no,
Komaneka at Bisma,Country sides area & Resort hotel,Gianyar,Rp.0,4.7,631,https://goo.gl/maps/djh6BPJC4ykugJGi6,https://lh5.googleusercontent.com/proxy/aTzvTXtEedUoyTpVQgB7D17_1AYZkg741S9-HBiyXkuHUSY5TdSjQnWq8QGzy8NY09tjLaGrmjKXkwmhKNHc-N2q69rEeKTZa4Z4z7qQR-oiun0u1m0POIYbv3lu3DXdfoz0U9oJ9s7ChbjQB7AxM4Vt6ZC_mA=w408-h271-k-no,361971933
Secret Beach,Country sides area & Resort hotel,Badung,Rp.0,4.3,639,https://goo.gl/maps/fGmcr3BFZix92q4H7,https://lh5.googleusercontent.com/p/AF1QipO9WtKdSby3pKLwpf_juf9YCffvGQi91WvVC7hr=w81-h81-n-k-no,
The Ritz-Carlton Bali,Country sides area & Resort hotel,Badung,Rp.0,4.7,3000,https://g.page/ritzcarltonbali?share,https://lh6.googleusercontent.com/proxy/xHAGFKlpYn8cK3GNGav1TY9g-IyNeqGytuKyPUv1d1JN21oF80XnP99XdglRgSMlyMXZsSeoDkduU2HkHhzVxiGscC9h_LTrMmHMFLszKwfqGoXphyS-VUE3Uffdyrf90-59pUrovz4GwBcwgPboGAI0rTIdEQ=w408-h272-k-no,3618498988
Nama,Category,Place,Price,Rating,Comment,Link_gmaps,Images,
Taman Ayun Temple,Heritage and Culture,Badung,30000,4.6,6211,https://goo.gl/maps/D1NgMwXcempJAbw37,https://a.cdn-hotels.com/gdcs/production60/d1777/4239b2a4-1f8b-4cb3-b492-2b13a7036a80.jpg,
Beji Sangsit Temple ,Heritage and Culture,Buleleng,0,4.6,450,https://goo.gl/maps/XqCncVBFUcJwvRJNA,https://lovebali.baliprov.go.id/storage/touriest_destinations/img-1634397534616aed5e63686.png,
Tirta Empul Temple,Heritage and Culture,Gianyar,15000,4.6,14576,https://goo.gl/maps/3SBs2mxQv36oXwx4A,https://a.cdn-hotels.com/gdcs/production17/d497/53f32ae3-08c2-48b2-a32c-6d8a1761f597.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Agung Besakih Temple,Heritage and Culture,Karangasem,5000,4.6,8970,https://goo.gl/maps/27rLjync8oCUJuGu5,https://wisato.id/wp-content/uploads/2022/03/Pura-Agung-Besakih-2-6.jpg,
Goa Lawah Temple,Heritage and Culture,Klungkung,15000,4.7,4016,https://goo.gl/maps/aPdW4xeRZQ6nMkA7A,https://a.cdn-hotels.com/gdcs/production96/d1027/4d2104a3-294a-42e7-ab67-14d8fb360d9e.jpg,
Puseh Desa Batuan Temple,Heritage and Culture,Gianyar,10000,4.4,2324,https://goo.gl/maps/QiiDDTozyxoLHJ6D9,https://a.cdn-hotels.com/gdcs/production48/d1682/e9836f9d-a49f-4093-b8ae-0dbd475086cd.jpg?impolicy=fcrop&w=800&h=533&q=medium,
Uluwatu Fire and Kecak Dance,Heritage and Culture,Badung,150000,4.6,2371,https://g.page/tari-kecak-uluwatu?share,https://www.raftingbali.net/wp-content/uploads/2020/01/Kecak-Dance-Bali-Feature-Image.jpg,
